Highest Perceptron accuracy so far: 0.037840845854201444, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.038397328881469114, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.038953811908736785, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.03951029493600445, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04006677796327212, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04062326099053979, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.041179744017807454, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.041736227045075125, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.042292710072342796, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04284919309961046, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04340567612687813, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0439621591541458, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.044518642181413465, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.045075125208681135, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.045631608235948806, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04618809126321647, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04674457429048414, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04730105731775181, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.047857540345019475, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.048414023372287146, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04897050639955482, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.04952698942682248, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05008347245409015, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05063995548135782, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.051196438508625486, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05175292153589316, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05230940456316082, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05286588759042849, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05342237061769616, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.053978853644963826, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.054535336672231496, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05509181969949917, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05564830272676683, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0562047857540345, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05676126878130217, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.057317751808569836, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05787423483583751, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05843071786310518, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05898720089037284, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.05954368391764051, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06010016694490818, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06065664997217585, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06121313299944352, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06176961602671119, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06232609905397885, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06288258208124652, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06343906510851419, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06399554813578186, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06455203116304953, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0651085141903172, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06566499721758487, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06622148024485253, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.0667779632721202, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06733444629938787, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.06789092932665554, Parameters: learning rate=0.0001, shuffle=True
